NAME,B01003_001E,B17001_001E,B17001_002E,state,county
"Aleutians East Borough, Alaska",3114,3109,512,02,013
"Aleutians West Census Area, Alaska",5507,5227,547,02,016
"Anchorage Municipality, Alaska",291470,285147,22029,02,020
"Bethel Census Area, Alaska",17184,16866,3676,02,050
"Bristol Bay Borough, Alaska",929,925,57,02,060
"Denali Borough, Alaska",1917,1760,186,02,068
"Dillingham Census Area, Alaska",4887,4864,871,02,070
"Fairbanks North Star Borough, Alaska",97523,93932,7517,02,090
"Haines Borough, Alaska",2500,2468,159,02,100
"Hoonah-Angoon Census Area, Alaska",2153,2135,296,02,105
"Juneau City and Borough, Alaska",31636,31083,1996,02,110
"Kenai Peninsula Borough, Alaska",55474,54055,4930,02,122
"Ketchikan Gateway Borough, Alaska",13525,13078,1341,02,130
"Kodiak Island Borough, Alaska",13710,13260,1530,02,150
"Lake and Peninsula Borough, Alaska",1551,1547,358,02,164
"Matanuska-Susitna Borough, Alaska",89319,87828,8657,02,170
"Nome Census Area, Alaska",9580,9318,2466,02,180
"North Slope Borough, Alaska",9317,9171,1158,02,185
"Northwest Arctic Borough, Alaska",7601,7524,1433,02,188
"Petersburg Census Area, Alaska",3822,3770,439,02,195
"Prince of Wales-Hyder Census Area, Alaska",5603,5554,726,02,198
"Sitka City and Borough, Alaska",8909,8653,640,02,220
"Skagway Municipality, Alaska",1050,1045,50,02,230
"Southeast Fairbanks Census Area, Alaska",7039,6924,686,02,240
"Valdez-Cordova Census Area, Alaska",9614,9444,658,02,261
"Wade Hampton Census Area, Alaska",7556,7514,2230,02,270
"Wrangell City and Borough, Alaska",2368,2338,178,02,275
"Yakutat City and Borough, Alaska",644,644,21,02,282
"Yukon-Koyukuk Census Area, Alaska",5637,5612,1284,02,290
"Apache County, Arizona",71618,70257,23909,04,001
"Cochise County, Arizona",131118,123110,20464,04,003
"Coconino County, Arizona",134011,126590,27624,04,005
"Gila County, Arizona",53436,52496,10935,04,007
"Graham County, Arizona",37115,33268,7428,04,009
"Greenlee County, Arizona",8592,8458,1478,04,011
"La Paz County, Arizona",20460,20238,4092,04,012
"Maricopa County, Arizona",3841819,3791843,599701,04,013
"Mohave County, Arizona",201216,194383,36155,04,015
"Navajo County, Arizona",107415,104688,29165,04,017
"Pima County, Arizona",981048,955948,177025,04,019
"Pinal County, Arizona",368374,342233,52188,04,021
"Santa Cruz County, Arizona",47057,46724,12499,04,023
"Yavapai County, Arizona",211280,208316,31918,04,025
"Yuma County, Arizona",196420,188472,40405,04,027
"Arkansas County, Arkansas",19029,18604,3162,05,001
"Ashley County, Arkansas",21811,21549,3705,05,003
"Baxter County, Arkansas",41387,40588,6985,05,005
"Benton County, Arkansas",222028,218820,26516,05,007
"Boone County, Arkansas",37032,36468,5755,05,009
"Bradley County, Arkansas",11510,11343,2929,05,011
"Calhoun County, Arkansas",5373,5277,554,05,013
"Carroll County, Arkansas",27321,26883,4768,05,015
"Chicot County, Arkansas",11759,10951,3532,05,017
"Clark County, Arkansas",23050,20196,4783,05,019
"Clay County, Arkansas",15981,15866,2972,05,021
"Cleburne County, Arkansas",25849,25393,4210,05,023
"Cleveland County, Arkansas",8685,8618,1575,05,025
"Columbia County, Arkansas",24644,23151,5712,05,027
"Conway County, Arkansas",21203,20932,4897,05,029
"Craighead County, Arkansas",96709,92886,18963,05,031
"Crawford County, Arkansas",61670,61112,11777,05,033
"Crittenden County, Arkansas",50618,49949,12384,05,035
"Cross County, Arkansas",17891,17648,2861,05,037
"Dallas County, Arkansas",8122,7696,1386,05,039
"Desha County, Arkansas",12922,12807,3635,05,041
"Drew County, Arkansas",18615,17594,4261,05,043
"Faulkner County, Arkansas",113730,108448,15852,05,045
"Franklin County, Arkansas",18110,17774,3327,05,047
"Fulton County, Arkansas",12301,12023,2352,05,049
"Garland County, Arkansas",96249,94232,17872,05,051
"Grant County, Arkansas",17852,17653,1476,05,053
"Greene County, Arkansas",42224,41507,7193,05,055
"Hempstead County, Arkansas",22548,22224,5951,05,057
"Hot Spring County, Arkansas",33011,31364,4463,05,059
"Howard County, Arkansas",13790,13585,3217,05,061
"Independence County, Arkansas",36572,35436,8378,05,063
"Izard County, Arkansas",13614,12858,2421,05,065
"Jackson County, Arkansas",17885,15234,3899,05,067
"Jefferson County, Arkansas",76836,71394,16617,05,069
"Johnson County, Arkansas",25554,24755,4736,05,071
"Lafayette County, Arkansas",7618,7463,1710,05,073
"Lawrence County, Arkansas",17314,16569,4204,05,075
"Lee County, Arkansas",10430,8976,2770,05,077
"Lincoln County, Arkansas",14167,10954,3140,05,079
"Little River County, Arkansas",13068,12856,1912,05,081
"Logan County, Arkansas",22352,21798,3446,05,083
"Lonoke County, Arkansas",68274,67549,8881,05,085
"Madison County, Arkansas",15674,15475,3691,05,087
"Marion County, Arkansas",16712,16500,2999,05,089
"Miller County, Arkansas",43449,42262,8492,05,091
"Mississippi County, Arkansas",46388,45401,10979,05,093
"Monroe County, Arkansas",8145,8014,2135,05,095
"Montgomery County, Arkansas",9453,9297,2115,05,097
"Nevada County, Arkansas",9003,8809,2399,05,099
"Newton County, Arkansas",8286,8194,2141,05,101
"Ouachita County, Arkansas",25894,25515,5180,05,103
"Perry County, Arkansas",10413,10218,1416,05,105
"Phillips County, Arkansas",21646,21370,6910,05,107
"Pike County, Arkansas",11261,11074,2299,05,109
"Poinsett County, Arkansas",24506,23949,6429,05,111
"Polk County, Arkansas",20535,20350,4373,05,113
"Pope County, Arkansas",61853,59424,11022,05,115
"Prairie County, Arkansas",8659,8503,1600,05,117
"Pulaski County, Arkansas",383185,377055,64824,05,119
"Randolph County, Arkansas",17992,17558,3623,05,121
"St. Francis County, Arkansas",28089,24021,6666,05,123
"Saline County, Arkansas",107498,105864,9151,05,125
"Scott County, Arkansas",11170,10951,2191,05,127
"Searcy County, Arkansas",8146,8063,2013,05,129
"Sebastian County, Arkansas",125795,123863,25376,05,131
"Sevier County, Arkansas",16978,16775,4404,05,133
"Sharp County, Arkansas",17278,17024,3955,05,135
"Stone County, Arkansas",12480,12337,2519,05,137
"Union County, Arkansas",41594,40827,8548,05,139
"Van Buren County, Arkansas",17223,16890,4118,05,141
"Washington County, Arkansas",204057,196604,38415,05,143
"White County, Arkansas",77007,73084,12919,05,145
"Woodruff County, Arkansas",7262,7116,1747,05,147
"Yell County, Arkansas",22033,21676,4521,05,149
"Alameda County, California",1515136,1487888,178897,06,001
"Alpine County, California",1197,1160,159,06,003
"Amador County, California",37764,33228,3502,06,005
"Butte County, California",220101,214624,44156,06,007
"Calaveras County, California",45507,44740,4643,06,009
"Colusa County, California",21329,21041,3206,06,011
"Contra Costa County, California",1052047,1042528,106304,06,013
"Del Norte County, California",28496,24974,5380,06,015
"El Dorado County, California",180441,179280,14439,06,017
"Fresno County, California",930517,913669,226967,06,019
"Glenn County, California",28078,27581,5383,06,021
"Humboldt County, California",134317,130315,25729,06,023
"Imperial County, California",173487,163074,37544,06,025
"Inyo County, California",18474,17938,2035,06,027
"Kern County, California",839153,804199,180779,06,029
"Kings County, California",151982,134003,27679,06,031
"Lake County, California",64360,63365,15036,06,033
"Lassen County, California",34628,24197,3724,06,035
"Los Angeles County, California",9840024,9684503,1658231,06,037
"Madera County, California",150615,141598,29900,06,039
"Marin County, California",252759,244670,18371,06,041
"Mariposa County, California",18193,18047,2647,06,043
"Mendocino County, California",87577,86212,16689,06,045
"Merced County, California",256398,252170,61914,06,047
"Modoc County, California",9545,9171,1829,06,049
"Mono County, California",14181,14058,1333,06,051
"Monterey County, California",416199,397891,64123,06,053
"Napa County, California",136644,133196,13341,06,055
"Nevada County, California",98521,97719,11320,06,057
"Orange County, California",3021840,2985156,349220,06,059
"Placer County, California",350074,347344,29082,06,061
"Plumas County, California",19926,19627,2720,06,063
"Riverside County, California",2192982,2157713,335557,06,065
"Sacramento County, California",1422348,1396487,230523,06,067
"San Benito County, California",55467,55176,7000,06,069
"San Bernardino County, California",2041029,1995666,350982,06,071
"San Diego County, California",3100500,3019666,418555,06,073
"San Francisco County, California",807755,795816,104784,06,075
"San Joaquin County, California",687036,672265,117938,06,077
"San Luis Obispo County, California",270121,254132,34755,06,079
"San Mateo County, California",721183,713363,52888,06,081
"Santa Barbara County, California",423594,406340,62240,06,083
"Santa Clara County, California",1788393,1761326,171669,06,085
"Santa Cruz County, California",262340,253753,36553,06,087
"Shasta County, California",177693,174707,30820,06,089
"Sierra County, California",3163,3132,527,06,091
"Siskiyou County, California",44673,44039,8610,06,093
"Solano County, California",414209,397076,47415,06,095
"Sonoma County, California",483456,476043,54966,06,097
"Stanislaus County, California",515115,508890,97847,06,099
"Sutter County, California",94615,93434,15868,06,101
"Tehama County, California",63200,62314,12646,06,103
"Trinity County, California",13693,13409,2377,06,105
"Tulare County, California",441877,435395,108096,06,107
"Tuolumne County, California",55205,51217,6718,06,109
"Ventura County, California",822794,811132,83936,06,111
"Yolo County, California",200873,193063,36007,06,113
"Yuba County, California",72244,70740,14541,06,115
"Adams County, Colorado",442996,438171,62008,08,001
"Alamosa County, Colorado",15750,14622,3191,08,003
"Arapahoe County, Colorado",574357,568999,66945,08,005
"Archuleta County, Colorado",12109,11989,1051,08,007
"Baca County, Colorado",3783,3649,530,08,009
"Bent County, Colorado",6192,4354,912,08,011
